interaction_id,event_ts,customer_id,property_id,interaction_type,device,source,session_minutes,intent_sentiment
I000000001,2024-12-29,C006978,P001347,Call,Desktop,App,6.8,
I000000002,2024-06-03,C002346,P002951,Call,Mobile,App,6.1,0.352
I000000003,2023-06-27,C005380,P003276,Visit,Desktop,App,5.4,0.895
I000000004,2024-12-16,C001723,P004482,View,Mobile,Web,4.4,
I000000005,2022-09-27,C001583,P001564,Call,Mobile,App,10.0,0.544
I000000006,2024-01-29,C003641,P001256,View,Desktop,App,8.3,
I000000007,2024-08-01,C002188,P002802,View,Desktop,Web,5.6,
I000000008,2024-04-12,C000301,P000019,View,Desktop,Web,17.1,
I000000009,2024-12-19,C000256,P003827,Visit,Desktop,Web,7.0,-0.233
I000000010,2024-11-08,C003044,P004194,View,Mobile,Web,13.6,
I000000011,2023-07-21,C003407,P002676,View,Mobile,App,3.3,
I000000012,2024-03-02,C004878,P000404,Save,Mobile,Web,10.2,
I000000013,2024-10-30,C004626,P002469,View,Mobile,App,8.5,
I000000014,2023-08-08,C005573,P000769,View,Desktop,App,17.3,
I000000015,2022-06-03,C007583,P000117,Save,Desktop,Web,11.4,
I000000016,2023-12-10,C001078,P000217,Visit,Desktop,App,5.1,0.271
I000000017,2023-09-20,C001516,P002188,Visit,Mobile,Web,8.5,0.052
I000000018,2023-12-15,C007576,P001383,View,Mobile,Web,5.9,
I000000019,2023-03-11,C007678,P000108,Save,Mobile,App,10.8,
I000000020,2024-05-26,C002091,P003184,View,Mobile,Web,3.7,
I000000021,2023-02-07,C006519,P001241,Save,Mobile,Web,6.2,
I000000022,2023-06-24,C002153,P004109,Inquiry,Mobile,App,5.8,0.102
I000000023,2024-11-08,C005023,P001808,Save,Mobile,Web,1.6,
I000000024,2024-07-23,C006621,P001548,Call,Mobile,App,9.3,0.442
I000000025,2023-12-18,C006123,P001263,View,Mobile,App,8.7,
I000000026,2022-07-05,C000209,P001638,View,Mobile,App,5.9,
I000000027,2024-08-11,C000072,P001269,View,Mobile,Web,9.4,
I000000028,2022-10-09,C003375,P001172,Call,Desktop,Web,6.7,0.242
I000000029,2024-07-25,C004778,P000462,View,Mobile,App,4.9,
I000000030,2025-03-18,C004975,P000986,View,Mobile,Web,2.8,
I000000031,2023-10-26,C004348,P004140,View,Mobile,Web,5.1,
I000000032,2024-09-01,C003177,P002065,Visit,Mobile,Web,15.9,-0.488
I000000033,2024-06-21,C007469,P000842,Visit,Mobile,App,4.6,0.205
I000000034,2024-04-03,C001242,P000090,Offer,Mobile,Web,11.3,0.297
I000000035,2022-07-31,C000451,P004442,Inquiry,Mobile,Web,6.0,0.039
I000000036,2022-03-21,C006305,P000022,Call,Mobile,Web,6.5,0.216
I000000037,2022-11-07,C006660,P001416,View,Mobile,Web,28.1,
I000000038,2024-02-27,C006682,P000341,View,Mobile,App,7.6,
I000000039,2023-09-04,C002729,P003257,Visit,Mobile,App,4.8,-0.018
I000000040,2024-05-17,C003835,P001687,Save,Mobile,App,5.1,
I000000041,2024-09-18,C006439,P001240,Call,Desktop,App,13.9,0.137
I000000042,2024-08-01,C004490,P001769,View,Mobile,Web,5.1,
I000000043,2024-04-01,C003805,P000446,View,Mobile,Web,11.2,
I000000044,2024-09-13,C004275,P004473,View,Mobile,Web,3.2,
I000000045,2024-12-29,C005913,P003674,Visit,Mobile,App,7.5,-0.128
I000000046,2023-07-31,C002255,P003225,View,Mobile,App,6.4,
I000000047,2024-07-14,C005852,P003400,View,Mobile,Web,11.5,
I000000048,2022-11-16,C005582,P003847,Save,Mobile,Web,5.6,
I000000049,2022-11-21,C000239,P004018,Visit,Desktop,Web,13.5,
I000000050,2023-02-12,C000359,P003568,Call,Mobile,Web,17.2,-0.16
I000000051,2024-05-24,C006680,P003461,Inquiry,Mobile,Web,5.4,0.416
I000000052,2024-02-11,C001816,P002121,View,Desktop,Web,12.7,
I000000053,2024-09-06,C000249,P001931,Visit,Mobile,Web,19.8,-0.181
I000000054,2024-05-16,C002416,P002143,Visit,Mobile,Web,4.0,0.447
I000000055,2023-09-12,C004193,P003317,View,Desktop,App,14.1,
I000000056,2022-12-05,C001521,P004320,View,Mobile,App,4.6,
I000000057,2023-05-31,C003510,P004222,Inquiry,Mobile,App,9.9,1.0
I000000058,2023-07-17,C005698,P001080,View,Mobile,App,6.5,
I000000059,2024-08-02,C001204,P000058,Offer,Mobile,Web,9.8,0.13
I000000060,2022-07-23,C004832,P003739,View,Mobile,Web,8.6,
I000000061,2023-11-14,C004021,P001658,Visit,Mobile,Web,6.7,1.0
I000000062,2024-06-08,C004619,P004476,Call,Mobile,App,7.5,0.743
I000000063,2023-03-28,C004603,P004271,View,Desktop,App,7.2,
I000000064,2024-07-23,C002415,P001280,View,Mobile,App,11.5,
I000000065,2024-01-19,C006433,P001858,Save,Mobile,Web,19.3,
I000000066,2023-12-31,C002012,P003549,View,Mobile,Web,3.4,
I000000067,2024-02-06,C003309,P001247,Visit,Mobile,Web,5.1,0.557
I000000068,2024-07-25,C003114,P004230,View,Mobile,Web,9.7,
I000000069,2022-08-13,C006946,P001557,View,Mobile,Web,4.4,
I000000070,2023-03-26,C006241,P004151,Call,Mobile,Web,16.3,-0.126
I000000071,2023-10-24,C006877,P000897,Call,Desktop,Web,16.2,-0.096
I000000072,2022-05-26,C003324,P000071,Call,Mobile,Web,12.2,0.35
I000000073,2024-08-28,C007500,P002139,Call,Desktop,Web,10.7,0.914
I000000074,2023-02-06,C007980,P002536,View,Mobile,Web,10.5,
I000000075,2024-03-11,C002911,P003039,Save,Mobile,Web,7.6,
I000000076,2024-03-10,C003401,P004051,View,Mobile,Web,6.0,
I000000077,2024-10-12,C005162,P003911,View,Mobile,App,2.4,
I000000078,2023-02-12,C000993,P002393,Inquiry,Mobile,Web,10.0,0.193
I000000079,2023-12-20,C003863,P000897,View,Desktop,Web,10.9,
I000000080,2024-07-27,C000870,P002021,Save,Mobile,App,8.2,
I000000081,2024-05-02,C001581,P001089,View,Mobile,Web,5.3,
I000000082,2024-06-09,C005959,P000883,Inquiry,Mobile,Web,6.5,0.715
I000000083,2024-08-27,C004987,P002524,View,Mobile,Web,5.0,
I000000084,2022-10-24,C005760,P002067,Inquiry,Desktop,App,13.2,1.0
I000000085,2023-10-08,C000584,P000713,Visit,Mobile,Web,2.9,0.712
I000000086,2022-05-25,C000479,P003014,Inquiry,Mobile,Web,7.0,0.209
I000000087,2023-11-02,C006792,P001573,Inquiry,Mobile,Web,5.8,0.497
I000000088,2024-07-19,C006014,P001974,Call,Desktop,App,3.0,0.54
I000000089,2022-09-20,C002168,P001374,Save,Mobile,App,5.4,
I000000090,2022-11-10,C004974,P001945,View,Mobile,App,5.6,
I000000091,2024-01-13,C005368,P000237,Save,Mobile,App,5.7,
I000000092,2024-03-20,C007075,P001839,View,Desktop,Web,6.9,
I000000093,2024-03-22,C006753,P001121,Save,Mobile,Web,3.7,
I000000094,2024-06-12,C007126,P003605,Inquiry,Mobile,App,4.4,0.324
I000000095,2024-11-28,C000458,P001968,View,Mobile,Web,8.3,
I000000096,2024-10-24,C000750,P002704,Call,Desktop,Web,12.0,0.327
I000000097,2024-07-26,C005936,P004073,Inquiry,Desktop,App,12.6,0.229
I000000098,2024-08-26,C003246,P003872,View,Mobile,App,3.9,
I000000099,2023-06-18,C004802,P003867,Visit,Desktop,App,4.7,0.963
I000000100,2024-10-26,C006719,P002355,View,Mobile,Web,10.6,
I000000101,2023-05-30,C000526,P000781,View,Mobile,Web,12.7,
I000000102,2024-11-21,C005407,P002738,Call,Mobile,Web,13.9,0.425
I000000103,2024-08-13,C001216,P001819,Visit,Mobile,Web,14.4,0.435
I000000104,2024-07-29,C000560,P003777,Inquiry,Desktop,Web,8.7,0.17
I000000105,2024-09-09,C005439,P001970,Offer,Mobile,App,2.2,0.218
I000000106,2024-04-21,C002078,P000125,Inquiry,Desktop,Web,4.1,0.06
I000000107,2024-08-26,C000650,P004352,View,Desktop,App,9.4,
I000000108,2022-08-21,C006806,P002180,View,Mobile,Web,5.9,
I000000109,2024-08-07,C005361,P000589,View,Desktop,Web,4.3,
I000000110,2023-07-01,C005047,P000285,View,Mobile,Web,7.7,
I000000111,2023-09-12,C004918,P000821,Inquiry,Desktop,Web,12.7,0.75
I000000112,2024-01-15,C006666,P002462,View,Mobile,App,6.1,
I000000113,2025-02-24,C001776,P003639,View,Mobile,Web,7.5,
I000000114,2023-09-23,C003115,P001434,View,Mobile,Web,7.1,
I000000115,2023-10-02,C002859,P001567,View,Desktop,App,2.3,
I000000116,2022-09-12,C006143,P000901,Call,Mobile,App,9.1,0.723
I000000117,2024-09-17,C001321,P002610,Inquiry,Mobile,Web,9.3,0.521
I000000118,2024-10-18,C002821,P000003,View,Mobile,Web,11.1,
I000000119,2024-05-22,C007281,P001193,Save,Mobile,Web,4.9,
I000000120,2023-01-06,C003221,P001296,View,Mobile,Web,4.1,
I000000121,2024-08-10,C003835,P000046,View,Mobile,App,8.7,
I000000122,2024-01-13,C004771,P003289,View,Mobile,Web,10.5,
I000000123,2024-11-09,C006065,P001655,Visit,Mobile,App,9.1,0.233
I000000124,2023-01-30,C004773,P000656,View,Mobile,App,14.7,
I000000125,2023-01-02,C002225,P000603,View,Mobile,Web,8.8,
I000000126,2024-08-21,C002058,P003839,Save,Mobile,App,7.2,
I000000127,2023-10-18,C005277,P002122,Save,Mobile,Web,5.4,
I000000128,2024-09-25,C003979,P000090,Save,Mobile,Web,5.2,
I000000129,2024-05-18,C001130,P000294,Inquiry,Mobile,Web,7.3,-0.673
I000000130,2023-02-22,C005565,P002265,Save,Mobile,Web,6.4,
I000000131,2023-12-29,C005631,P001421,Inquiry,Mobile,Web,7.4,0.188
I000000132,2024-11-29,C000114,P001439,View,Mobile,Web,7.3,
I000000133,2024-10-09,C006165,P000399,Visit,Desktop,App,8.0,0.29
I000000134,2022-09-19,C000466,P001950,View,Mobile,Web,4.9,
I000000135,2024-06-16,C003120,P002408,View,Desktop,App,17.6,
I000000136,2023-11-06,C000729,P001841,View,Mobile,Web,17.8,
I000000137,2024-03-11,C006303,P001502,Inquiry,Desktop,Web,5.5,0.231
I000000138,2024-03-18,C006788,P001240,Save,Desktop,Web,4.9,
I000000139,2024-11-23,C007472,P001388,Save,Mobile,Web,5.0,
I000000140,2024-12-21,C004526,P002602,Visit,Mobile,App,5.0,0.715
I000000141,2024-08-18,C007694,P000369,Save,Mobile,Web,5.1,
I000000142,2024-11-22,C004684,P002233,Call,Mobile,Web,3.5,
I000000143,2023-04-08,C003701,P002682,View,Mobile,App,6.3,
I000000144,2023-10-15,C007561,P003796,Inquiry,Desktop,Web,6.0,0.146
I000000145,2023-06-24,C007852,P002971,View,Desktop,Web,6.2,
I000000146,2025-01-22,C003300,P003169,View,Mobile,App,9.3,
I000000147,2024-01-03,C002529,P000767,View,Mobile,App,5.1,
I000000148,2023-04-02,C003106,P002234,Save,Mobile,Web,4.2,
I000000149,2023-12-01,C007530,P003523,View,Desktop,Web,13.1,
I000000150,2023-03-20,C003767,P001850,View,Mobile,Web,4.3,
I000000151,2024-05-20,C000442,P001113,Offer,Mobile,Web,3.1,-0.234
I000000152,2023-10-22,C002215,P000260,Call,Desktop,Web,14.4,0.274
I000000153,2022-05-05,C000823,P004421,View,Mobile,Web,18.1,
I000000154,2024-07-21,C002379,P000378,View,Mobile,Web,10.1,
I000000155,2022-12-28,C003029,P001815,View,Desktop,Web,7.2,
I000000156,2024-05-15,C006966,P000774,View,Mobile,Web,10.4,
